Gene_Name	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-H	HLA-J	HLA-L
CGGA_1032	106.74	209.22	9.33	15.57	17.77	12.63	0.39	186.05	31.12	0.1	0.76	6.64	0	49.71	4.01	0	108.07	27.8	0.65	0	0.46
CGGA_1033	106.25	40.83	8.98	18.52	4.48	0.27	0.23	5.47	1.21	0.2	0	0.02	0.32	4.88	2.5	0.12	79.65	29.48	1.79	0.09	0.61
CGGA_1036	882.78	719.02	67.13	47.16	33.03	8.87	0.42	138.17	92.57	0.45	47.37	0.81	18.25	217.8	31.17	0.03	214.62	105.78	36.2	0.2	0.67
CGGA_1037	189.54	188.83	262.47	45.32	3.63	1.88	0.47	11.27	30.05	0	0.03	0	0.03	13.42	4.47	0.18	206.81	46	2.68	0.25	0.24
CGGA_1041	127.81	100.02	134.36	13.9	18.74	5.32	3.8	65.87	28.29	0.04	0.34	0.31	0.23	48.59	5.14	0.11	103.75	25.96	7.76	0.3	1.35
CGGA_1048	2483.39	1754.46	96.52	100.26	34.37	9.95	2.29	644.9	22.09	2.6	40.33	2.92	13.12	385.21	19.65	0.04	346.35	401.82	36.31	9.06	2.26
CGGA_1051	65.99	26.23	63.49	3.47	2.25	0.49	0.48	29.11	13.35	0.09	0.76	0	0.23	11.58	1.49	0	57.65	21.69	0.2	0.49	0.73
CGGA_1055	68.63	41.71	21.5	34.22	27.42	7.37	0.87	82.82	56.37	0.19	0	0.39	0	117.57	13.87	0.35	126.79	12.73	0.17	0.1	0.21
CGGA_1057	584.37	698.49	556.35	134.7	179.86	19.68	2.16	597.59	400.42	1.2	8.76	18.88	0.37	1253.36	137.9	0.73	372.62	145.73	1.29	0.88	0.39
CGGA_1058	417.68	240.17	25.48	30.69	34.89	6.59	0.83	196.08	66.47	0.43	0.05	0.52	0.07	145.6	7.77	0	264	59.94	1.28	0	0.63
CGGA_106	428.17	753.09	72.76	111.11	96.16	20.08	1.6	680.22	584.94	0.37	88.94	0.5	235.18	476.89	76.79	0.22	337.4	103.24	2.02	0.36	1.11
CGGA_1063	25.07	6.21	4.08	1.39	1.65	0.31	0	4.39	1.61	0	0.37	0	0.14	2.49	0.56	0	18.75	3.31	0.05	0.22	0.45
CGGA_1065	82.56	67.58	112.83	6.62	3.19	0.21	0	11.97	6.46	0.04	1.48	0.14	0.64	17.54	15.16	14.73	44.29	8.62	0.42	0.23	0.4
CGGA_1066	155.79	175.26	15.34	22.63	33.23	11.71	0.23	77.9	5.87	0.11	9.26	0.14	6.16	94.44	6.52	0.49	196.58	35.11	0.2	0.04	0.65
CGGA_1069	838.89	420.01	541.83	102.3	83.75	16.04	1.55	676.08	210.23	0.06	3.4	8.41	0.23	753.51	47.93	0.03	477.83	161.89	17.51	0.25	1.84
CGGA_107	533.72	783.49	25.23	18.17	16.83	3.78	0.21	71.7	29.72	0.12	0.21	0.2	0	75.49	96.15	62.25	162.23	11.04	37.21	1.73	0.67
CGGA_1075	183.06	180.54	72.17	244.43	66.52	14.56	18.68	644.69	45.11	1.36	0.17	6.39	0.07	476.69	154.22	0.22	423.47	248.34	0.9	2.52	1.09
CGGA_108	300.77	1727.06	64.81	71.49	80.52	12.19	0.63	270.38	51.86	1.25	145.4	0.05	64.05	421.19	18.69	0.2	257.73	86.03	0.59	0.13	1.43
CGGA_1082	213.8	87.38	25.44	9.27	14.05	1.21	0.26	28.6	25.24	0.13	2.73	0	44.92	16.18	80.79	28.33	119.97	33.59	0.71	0.04	0.12
CGGA_1086	152.83	83.12	1.9	9	11.99	5.85	0.16	17.79	12.61	0.35	0.06	0	0	29.93	4.71	0	63.98	18.7	0.5	0.05	0.56
CGGA_1087	102.16	12.22	4.19	3.92	1.89	0.05	0.21	10.79	2.62	0	0.2	0.03	0.28	4.23	4.79	4.16	59.84	22.97	0.42	0.23	0.36
CGGA_1097	480.18	180.23	14.63	30.84	21.48	5.54	0.5	163.17	104.43	0.19	23.82	0.18	55.6	127.14	16.26	0.2	206.96	46.79	7.34	0.81	0.95
CGGA_1100	36.25	12.49	3.6	0.71	1.23	0.18	0.19	6.73	2.44	0.11	1.35	0.05	1.13	2.09	0.24	0	18.35	13.39	0.48	0	0.74
CGGA_1101	34.38	2.97	1.23	2.29	1.19	2.85	0	11.08	3.07	0	0	0	0	2.05	0.56	0	9.22	5.89	3.06	0.19	1.4
CGGA_1103	76.53	86.8	67.58	17.11	19.57	4.44	0.25	75.66	3.66	0.05	1.2	0.87	0	130.27	1.86	0	55.31	5.73	0.03	0.04	0.56
CGGA_1106	126.16	175.41	68.04	54.71	43.98	6.09	2.03	143.77	71.53	0.14	0.65	0.99	0	105.71	12.39	0.06	289.17	87.39	0.64	1.23	0.86
CGGA_1108	446.06	475.81	456.75	76.75	84.02	18.93	1.57	244.9	86.94	0.61	151.84	0.06	30.21	302.45	242.66	216.73	357.41	64.88	6.04	1.13	1.59
CGGA_1111	1044.3	379.91	69.29	43.93	52.38	7.04	6.63	332.31	194.24	0.11	25.16	0.55	122.78	162.97	43.52	0.42	222.59	137.19	1.19	0.39	0.53
CGGA_112	130.65	129.72	149.68	11.71	14.57	1.28	0.52	27.75	11.74	0.04	0.15	0.49	0	50.85	5.37	0.48	88.35	16.87	0.08	0.05	0.83
CGGA_1120	65.5	1.97	11.74	0.99	1.09	0.28	0	9.64	2	0.05	2.49	0.07	0.37	3.46	0.22	0	18.26	7.27	1.01	0	0.19
CGGA_1121	330.23	152.46	15.35	9.62	6.66	0.66	0.12	36.3	22.9	0	2.35	0	14.3	14.99	60.2	45.99	90.1	12.76	0.72	0.08	0.17
CGGA_1126	342.45	602.08	30.96	53.36	25.22	2.83	1.22	90.32	61.82	0.03	0.4	1.07	0.57	107.86	14.25	1	138.7	65.67	1.97	0.64	0.77
CGGA_1127	361.18	390.5	259.69	35.66	13.24	0.63	0.27	10.39	16.67	0.04	0.98	0	99.48	15.75	67.2	43.57	169.97	56.4	0.48	0.27	0.11
CGGA_1130	289.59	194.43	45.12	21.56	26.33	3.86	1.23	86.67	96.79	0.18	3.15	0	74.79	32.93	120.21	81.45	313.3	123.69	7.22	0.49	0.4
CGGA_1131	126.62	163.53	13.35	9.84	6.58	0.49	0.13	10.7	3.88	0	0.03	0	0.11	22.07	2.2	0.07	43.64	15.84	6.01	0.09	0.52
CGGA_1132	53.62	75.06	5.34	16.56	5.71	0.73	0.3	28.57	9.81	0.04	0.03	0.03	0.03	19.29	2.35	0	69.96	22.6	3.5	0.17	0.14
CGGA_1134	540.94	257.27	31.26	21.19	19.32	2.14	0.33	55.34	3.51	0.34	8.32	0.03	26.68	139.7	8.68	0.5	120.7	69.52	3.72	2.4	1.18
CGGA_1135	624.51	398.01	66.13	39.91	35.59	4.74	0.7	299.67	167.71	0.04	36.68	0.14	130.16	182.69	345.95	267.59	257.05	54.28	5.06	0.17	0.35
CGGA_1137	64.13	25.43	1.06	3.61	7.1	2.24	0	61.43	9.17	0.08	10.3	0	10.32	21.99	21.12	15.47	30.37	7.56	1.45	0.18	0.18
CGGA_1138	131.44	206.78	42.69	26.31	11.81	1.46	1.53	49.7	49.22	0.04	0.04	0.17	0.1	46.35	7.56	0.32	104	73.22	0.69	0.76	1.64
CGGA_1141	389.63	107.8	23.76	12.34	12.61	1.67	0.14	72.89	23.9	0.37	3.3	0.18	4.69	43.2	73.06	3.38	136.88	34.07	1.17	0.27	1.03
CGGA_1142	366.93	1040.48	1270.82	22.63	7.39	1.33	1.91	89.36	37.82	0.04	8.81	0.06	6.43	43.76	78.22	58.49	187.49	47.86	1.17	0.54	0.24
CGGA_1144	110.05	114.86	72.61	4.49	3.52	1.43	0.42	14.2	1.94	0.34	1.27	0.05	11.85	14.11	24.17	14.77	62.87	27.31	2.27	0.08	1.2
CGGA_1147	137.5	37.98	8.54	4.09	5.68	1.4	0.24	16.18	5.36	0	1.53	0	7.54	9.82	23.46	19.02	63.8	20.35	5.4	0.06	0.43
CGGA_1148	40.19	563.81	19.64	87.41	35.09	6.55	1.96	244.43	94.82	0.47	51.35	0.02	349.52	172.51	262.78	187.87	142.27	110.18	0.07	0	0.25
CGGA_1152	1864.05	893.42	1227.54	84.9	95.6	22.5	9.51	392.41	331.19	1.6	30.11	3.57	406.17	401.63	1062.47	561.46	370.69	277.16	31.91	0.59	0.22
CGGA_1154	223.29	315.66	238.95	36.83	39.44	5.02	0.39	88.04	11.35	0.04	37.36	0.13	9.91	108.49	12.53	0.44	200.21	46.09	6.67	0.22	1.02
CGGA_1155	361.26	299.9	38.78	13.42	15.48	2.77	0.93	25.36	27.34	0.08	0.89	0.12	7.87	22.84	27.8	14.1	183.91	55.75	4.12	0.31	0.11
CGGA_1156	791.8	917.42	75.02	60.36	40.01	7.28	0.92	145.24	19.57	0.17	35.17	0.57	80.24	157.36	349.8	260.27	238.69	130.5	3.21	0.34	1.22
CGGA_1157	256.5	322.62	32.83	33.75	10.84	1.46	1.13	36.62	7.7	0.04	4.12	0	4.65	62.87	116.6	73.31	173.96	55.89	7.76	0.32	0.42
CGGA_1158	52.8	66.81	3.22	16.6	5.64	0.62	0.3	22.7	9.22	0.34	1.22	0.13	14.94	30.69	14.35	15	65.91	20.01	0.17	0	0.66
CGGA_1159	139.27	75.6	14.93	13.06	8.58	1.57	0.83	65.7	31.07	0.04	9.24	0	35.18	45.33	6.95	1.1	132.38	51.88	0.9	0.57	1.7
CGGA_1161	181.08	99.03	18.64	16.02	7.13	1.14	0.45	26.65	23.87	0.06	1.79	0.12	3.07	11.65	8	0.89	80.21	28.37	1.07	0.34	1.26
CGGA_1162	309.25	153.4	293.73	9.41	5.58	2.19	5.91	7.69	24.86	0.05	0.57	0.19	67.5	9.12	35.17	29.04	221.66	44.44	0.51	0.33	0.16
CGGA_1164	78.38	131.2	34.23	25.92	9.31	0.83	0.37	31.85	17.95	0.11	0.32	0.05	1.76	36.86	8.14	0.94	93.78	54.12	0.44	0	1.23
CGGA_1169	177.52	180.91	42.3	47.94	26.02	4.15	0.63	71.17	8.79	0.14	0.53	1.02	0	146.93	9.65	0	200.59	75.52	16.64	0.09	0.33
CGGA_1172	1008.8	379.48	49.22	49.46	52.75	6.16	3.45	143	93.28	0.25	0.4	0.84	1.07	134.54	62.15	1.67	245.67	163	6.07	0	0.82
CGGA_1178	48.96	99.74	12.46	16.86	12.22	1.76	0.09	63.82	3.22	0.08	8.85	0.15	2.47	44.45	34.85	29.75	75.55	21.72	0.47	0	1.43
CGGA_1181	353.4	320.71	58.72	20.49	22.49	2.43	4.92	104.46	72.31	0.03	5.72	0.22	49.28	89.26	11.01	1.56	151.13	61.16	6.73	0.11	0.39
