id	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-DRB6	HLA-E	HLA-F	HLA-G	HLA-H	HLA-J	HLA-L
TCGA.DU.A6S2.01A.21R.A32Q.07	69.50681673	74.22131272	61.77955975	1.382646574	0.598800321	0.342559994	0.114600416	1.616455285	2.989211546	0.036294473	0.206788198	0.139716255	1.610456205	0	10.7219921	6.947162846	0.737411506	0.510932746	77.35012926	3.027047059	0.97718527	10.26135696	0.414624738	1.058396487
TCGA.HT.8109.01A.11R.2404.07	73.21698552	72.3849307	54.3893204	7.045112598	3.55868141	3.162915934	0.077905545	10.32758685	10.101681	0.010051979	0.657071784	2.311163756	0.429627829	0.396527785	85.27847979	25.2594524	16.7469167	5.640024612	97.7045635	1.933535963	0.501743722	7.80679272	0.314970222	0.593075911
TCGA.S9.A89Z.01A.11R.A36H.07	259.5411322	244.0456968	221.694832	49.09772903	18.44355202	18.571385	0.313488098	124.6069073	140.4918197	0.145615222	10.62841866	15.62401643	12.23832988	2.918048623	882.7558773	427.1082053	190.6218819	35.0882169	233.2114654	6.798507077	1.453674362	27.06104776	1.154940803	0.969181057
TCGA.HT.A5RC.01A.11R.A28M.07	165.9084392	159.24689	125.0278596	16.59986059	8.536797672	6.323107446	0.37206222	19.12965582	27.57570716	0.261852881	4.212629568	6.364193371	12.28102825	1.08459773	194.4584955	95.29517103	29.74316212	8.673136136	122.7601511	3.217980127	0.86739695	24.27395317	0.628190509	0.650707976
TCGA.DU.A6S6.01A.21R.A32Q.07	97.08004847	47.69252673	68.85657596	1.361357616	0.685140059	0.405585155	0.443730824	1.891048546	3.055022586	0.040680191	0.178530072	0.298962034	0.875984537	0.0427931	10.40734887	6.904817698	1.842446747	0.638120643	64.2642184	2.803204319	0.073838123	5.166681195	0.331947703	0.358645826
TCGA.FG.A87Q.01A.11R.A36H.07	444.1383034	527.8571033	504.9567064	37.27051031	21.41301376	15.98150495	0.753688325	69.70053429	103.4733398	0.516523613	12.58354689	0.135570502	44.25138406	0.373554224	464.8174475	259.0012065	210.7088391	0.155814061	327.2029995	17.74880772	0.130213301	15.0390898	0.477677216	0.266888778
TCGA.WY.A85E.01A.11R.A36H.07	134.0543489	130.1886369	104.7688061	5.955231099	1.891981842	1.414304125	0.093678607	5.517187526	10.76383638	0.228446992	1.575464007	0.673834398	3.712507635	0.437711904	60.75602152	33.02236979	6.16098918	2.887787879	89.55487759	4.798333878	1.273572082	8.782147149	0.617820157	0.458455103
TCGA.TQ.A7RN.01A.11R.A33Z.07	113.3318644	68.53908934	88.92793357	6.082421517	2.317101519	1.974902019	0.272363091	7.277087449	11.10166848	0.063256328	1.093734771	0.63564664	2.680028062	0.199625492	58.89615958	30.48056887	17.96996091	0.59971524	83.53905558	2.863746371	0.451062058	4.366599486	0.637098179	0.404472796
TCGA.HT.7483.01A.11R.2027.07	138.9032335	81.39958732	92.72604621	7.097221423	2.754964712	2.488494632	0.226154632	9.652503162	13.70640653	0.346661127	2.023634387	0.12131623	5.000529781	0.074590883	104.7074178	61.77902149	29.48036907	0.773210065	123.0501346	2.403881021	1.306109062	7.207729698	2.026400863	0.51904234
TCGA.DU.7294.01A.11R.2027.07	68.89667661	60.49162388	51.71212387	3.379791366	1.614472785	0.65953061	0.058987706	3.502945541	3.343455903	0.068499474	0.262193534	0.010273637	0.881186423	0	24.61088228	12.52321664	2.03789817	0.354231279	81.71123756	1.741672473	0.52397296	5.042818386	0.306624676	0.321388473
