Tumor_Sample_Barcode	C>A	C>G	C>T	T>C	T>A	T>G
TCGA.QH.A6CV	6	4	48	4	2	4
TCGA.QH.A6CW	1	4	15	13	2	3
TCGA.QH.A6CX	5	1	27	6	0	2
TCGA.QH.A6CY	4	0	12	3	1	1
TCGA.QH.A6CZ	3	2	20	6	2	2
TCGA.QH.A6X3	2	1	10	3	1	0
TCGA.QH.A6X4	2	3	13	6	1	2
TCGA.QH.A6X5	1	3	10	9	1	0
TCGA.QH.A6X8	1	4	23	4	1	2
TCGA.QH.A6X9	6	4	34	8	3	2
TCGA.QH.A6XA	0	0	11	2	1	1
TCGA.QH.A6XC	9	4	40	3	1	2
TCGA.QH.A86X	2	1	14	4	1	0
TCGA.QH.A870	2	2	14	1	1	0
TCGA.R8.A6MK	1	2	15	8	2	0
TCGA.R8.A6ML	3	0	13	3	1	0
TCGA.R8.A6MO	8	3	20	9	1	1
TCGA.R8.A6YH	0	1	5	5	1	1
TCGA.R8.A73M	4	4	14	8	4	0
TCGA.RY.A83X	1	3	16	2	0	1
TCGA.RY.A83Y	2	2	23	9	0	0
TCGA.RY.A83Z	6	3	30	9	8	4
TCGA.RY.A840	0	2	15	2	3	1
TCGA.RY.A843	1	2	9	7	0	0
TCGA.RY.A845	2	2	18	8	3	1
TCGA.RY.A847	1	0	14	2	0	0
TCGA.S9.A6TS	14	9	31	13	5	4
TCGA.S9.A6TU	2	2	11	5	2	0
TCGA.S9.A6TV	3	1	23	7	1	1
TCGA.S9.A6TW	4	2	18	6	1	1
TCGA.S9.A6TX	0	2	23	7	0	2
TCGA.S9.A6TY	2	3	15	8	1	0
TCGA.S9.A6TZ	4	6	20	5	3	1
TCGA.S9.A6U0	4	1	31	5	4	0
TCGA.S9.A6U1	2	2	16	4	0	1
TCGA.S9.A6U2	3	1	19	7	1	0
TCGA.S9.A6U5	1	2	12	4	3	0
TCGA.S9.A6U6	2	3	23	5	3	2
TCGA.S9.A6U8	2	3	16	3	1	0
TCGA.S9.A6U9	3	5	12	6	0	0
TCGA.S9.A6UA	3	5	28	7	2	2
TCGA.S9.A6UB	2	1	28	3	1	0
TCGA.S9.A6WE	0	0	7	3	0	0
TCGA.S9.A6WG	4	0	18	3	0	1
TCGA.S9.A6WH	7	4	44	16	8	6
TCGA.S9.A6WI	3	0	18	3	2	1
TCGA.S9.A6WL	4	3	25	7	3	2
TCGA.S9.A6WM	4	5	50	6	4	0
TCGA.S9.A6WN	4	1	24	9	0	1
TCGA.S9.A6WO	1	3	13	10	1	2
TCGA.S9.A6WP	2	2	23	3	1	0
TCGA.S9.A6WQ	1	2	25	8	1	4
TCGA.S9.A7IQ	0	0	10	6	0	0
TCGA.S9.A7IS	9	3	30	11	4	1
TCGA.S9.A7IX	2	5	22	3	2	3
TCGA.S9.A7IY	6	2	9	7	1	0
TCGA.S9.A7IZ	7	2	19	4	2	1
